Iteracao,Pi_Alta,Pi_Baixa,Pi_Estavel
56400,0.379610,0.315089,0.305301
56500,0.379699,0.315186,0.305115
56600,0.379735,0.315141,0.305124
56700,0.379700,0.315115,0.305185
56800,0.379771,0.315158,0.305070
56900,0.379930,0.315044,0.305026
57000,0.380035,0.314930,0.305035
57100,0.379965,0.314939,0.305096
57200,0.380000,0.314878,0.305122
57300,0.379843,0.314921,0.305236
57400,0.379895,0.314843,0.305261
57500,0.379757,0.314904,0.305339
57600,0.379740,0.314792,0.305469
57700,0.379740,0.314766,0.305494
57800,0.379706,0.314827,0.305467
57900,0.379810,0.314767,0.305423
58000,0.379776,0.314707,0.305517
58100,0.379707,0.314733,0.305559
58200,0.379605,0.314948,0.305447
58300,0.379623,0.314940,0.305437
58400,0.379503,0.315051,0.305445
58500,0.379590,0.314923,0.305487
58600,0.379642,0.314863,0.305495
58700,0.379540,0.314906,0.305554
58800,0.379490,0.314949,0.305561
58900,0.379423,0.314941,0.305637
59000,0.379373,0.315102,0.305525
59100,0.379374,0.315161,0.305465
59200,0.379443,0.315101,0.305456
59300,0.379511,0.315160,0.305329
59400,0.379495,0.315084,0.305421
59500,0.379580,0.315008,0.305412
59600,0.379564,0.315017,0.305419
59700,0.379715,0.314925,0.305360
59800,0.379615,0.315017,0.305368
59900,0.379699,0.315109,0.305192
60000,0.379717,0.315067,0.305217
60100,0.379601,0.315191,0.305208
60200,0.379734,0.315100,0.305166
60300,0.379685,0.315025,0.305290
60400,0.379619,0.315116,0.305265
60500,0.379669,0.314959,0.305372
60600,0.379703,0.314950,0.305347
60700,0.379638,0.314893,0.305470
60800,0.379688,0.314819,0.305493
60900,0.379622,0.314828,0.305550
61000,0.379590,0.314869,0.305541
61100,0.379558,0.314926,0.305516
61200,0.379526,0.315033,0.305441
61300,0.379478,0.315139,0.305383
61400,0.379479,0.315179,0.305342
61500,0.379398,0.315187,0.305415
61600,0.379416,0.315211,0.305373
61700,0.379433,0.315057,0.305511
61800,0.379337,0.315194,0.305469
61900,0.379225,0.315250,0.305525
62000,0.379242,0.315226,0.305532
62100,0.379324,0.315024,0.305652
62200,0.379277,0.315032,0.305691
62300,0.379342,0.314880,0.305778
62400,0.379295,0.314920,0.305785
62500,0.379232,0.314976,0.305792
62600,0.379153,0.314984,0.305863
62700,0.379075,0.315072,0.305853
62800,0.379029,0.315064,0.305908
62900,0.378871,0.315119,0.306010
63000,0.378889,0.315159,0.305952
63100,0.378938,0.315087,0.305975
63200,0.378956,0.315095,0.305949
63300,0.378942,0.315150,0.305908
63400,0.379022,0.315174,0.305804
63500,0.379039,0.315102,0.305858
63600,0.379009,0.315094,0.305896
63700,0.379027,0.315008,0.305965
63800,0.379091,0.315016,0.305893
63900,0.378983,0.315086,0.305931
64000,0.379047,0.315063,0.305891
64100,0.379080,0.314914,0.306006
64200,0.379034,0.314875,0.306090
64300,0.379020,0.314883,0.306096
64400,0.379037,0.314798,0.306165
64500,0.379023,0.314822,0.306155
64600,0.378963,0.314799,0.306238
64700,0.378918,0.314760,0.306321
64800,0.378951,0.314784,0.306265
64900,0.378952,0.314777,0.306271
65000,0.378877,0.314969,0.306154
65100,0.378833,0.314931,0.306237
65200,0.378834,0.315046,0.306120
65300,0.378867,0.315038,0.306095
65400,0.378869,0.315076,0.306055
65500,0.378870,0.315084,0.306046
65600,0.378826,0.315168,0.306006
65700,0.378828,0.315145,0.306027
65800,0.378769,0.315152,0.306079
65900,0.378816,0.315159,0.306024
66000,0.378788,0.315212,0.306000
66100,0.378623,0.315280,0.306097
66200,0.378565,0.315332,0.306103
66300,0.378446,0.315370,0.306184
66400,0.378434,0.315407,0.306160
66500,0.378286,0.315429,0.306286
66600,0.378123,0.315495,0.306381
66700,0.378036,0.315517,0.306447
66800,0.377994,0.315599,0.306407
66900,0.378027,0.315620,0.306353
67000,0.378149,0.315522,0.306328
67100,0.378077,0.315618,0.306304
67200,0.378006,0.315670,0.306324
67300,0.378009,0.315661,0.306330
67400,0.378012,0.315668,0.306320
67500,0.377970,0.315704,0.306326
67600,0.377855,0.315725,0.306420
67700,0.377814,0.315702,0.306484
67800,0.377788,0.315723,0.306490
67900,0.377806,0.315773,0.306421
68000,0.377779,0.315838,0.306382
68100,0.377783,0.315742,0.306476
68200,0.377786,0.315689,0.306525
68300,0.377877,0.315593,0.306530
68400,0.377924,0.315643,0.306433
68500,0.377927,0.315664,0.306409
68600,0.377915,0.315641,0.306443
68700,0.377817,0.315764,0.306419
68800,0.377776,0.315887,0.306337
68900,0.377721,0.315835,0.306444
69000,0.377754,0.315841,0.306406
69100,0.377902,0.315731,0.306368
69200,0.377890,0.315679,0.306431
69300,0.377965,0.315729,0.306306
69400,0.377983,0.315836,0.306182
69500,0.378086,0.315770,0.306144
69600,0.378075,0.315805,0.306121
69700,0.378092,0.315868,0.306040
69800,0.378052,0.315802,0.306146
69900,0.378040,0.315680,0.306280
70000,0.377929,0.315771,0.306300
70100,0.377903,0.315720,0.306377
70200,0.377906,0.315712,0.306382
70300,0.377966,0.315733,0.306302
70400,0.378026,0.315696,0.306278
70500,0.377929,0.315801,0.306270
70600,0.377762,0.315779,0.306459
70700,0.377808,0.315686,0.306506
70800,0.377853,0.315621,0.306525
70900,0.377842,0.315557,0.306601
71000,0.377817,0.315620,0.306563
71100,0.377918,0.315485,0.306596
71200,0.378006,0.315449,0.306545
71300,0.378121,0.315428,0.306452
71400,0.378179,0.315350,0.306471
71500,0.378168,0.315371,0.306462
71600,0.378240,0.315335,0.306425
71700,0.378173,0.315300,0.306527
71800,0.378231,0.315306,0.306462
71900,0.378164,0.315369,0.306467
72000,0.378208,0.315292,0.306500
72100,0.378336,0.315118,0.306546
72200,0.378310,0.315139,0.306551
72300,0.378326,0.315090,0.306584
72400,0.378370,0.315028,0.306602
72500,0.378428,0.314979,0.306593
72600,0.378416,0.315000,0.306584
72700,0.378487,0.315048,0.306465
72800,0.378475,0.315041,0.306484
72900,0.378436,0.314979,0.306584
73000,0.378411,0.315027,0.306562
73100,0.378358,0.315103,0.306539
73200,0.378333,0.315178,0.306489
73300,0.378417,0.315157,0.306426
73400,0.378433,0.315123,0.306444
73500,0.378422,0.315061,0.306517
73600,0.378505,0.314959,0.306535
73700,0.378575,0.314980,0.306445
73800,0.378469,0.315054,0.306477
73900,0.378484,0.315020,0.306495
74000,0.378432,0.315041,0.306527
74100,0.378394,0.315061,0.306545
74200,0.378477,0.315054,0.306469
74300,0.378546,0.314980,0.306474
74400,0.378495,0.315013,0.306492
74500,0.378523,0.314913,0.306564
74600,0.378646,0.314812,0.306542
74700,0.378594,0.314819,0.306586
74800,0.378570,0.314840,0.306591
74900,0.378571,0.314713,0.306716
75000,0.378533,0.314693,0.306773
75100,0.378589,0.314647,0.306764
75200,0.378577,0.314574,0.306848
75300,0.378606,0.314608,0.306786
75400,0.378581,0.314589,0.306830
75500,0.378503,0.314583,0.306914
75600,0.378452,0.314709,0.306839
75700,0.378402,0.314756,0.306843
75800,0.378364,0.314815,0.306821
75900,0.378393,0.314743,0.306864
76000,0.378395,0.314697,0.306908
76100,0.378397,0.314652,0.306951
76200,0.378438,0.314554,0.307008
76300,0.378414,0.314495,0.307090
76400,0.378455,0.314450,0.307094
76500,0.378471,0.314510,0.307020
76600,0.378381,0.314556,0.307063
76700,0.378331,0.314563,0.307106
76800,0.378333,0.314518,0.307148
76900,0.378427,0.314564,0.307009
77000,0.378429,0.314416,0.307156
77100,0.378431,0.314397,0.307173
77200,0.378446,0.314404,0.307150
